Feature,Importance_GB
BMI_Category_Encoded,0.32919147960701783
Systolic_BP,0.2805661750482911
Occupation_Encoded,0.16994352916431352
Age,0.09619128114228281
Heart Rate,0.03167541324958112
Sleep_Efficiency,0.020053833024051667
Activity_Stress_Ratio,0.01849620598523999
Sleep_Deficit,0.016972424049585145
Sleep Duration,0.01168024847270031
Gender_Encoded,0.007348053419122063
Diastolic_BP,0.005852942860743104
Daily Steps,0.0050717683281355005
Stress Level,0.003786532831997248
Physical Activity Level,0.0031701128169385794
