Feature,Importance
Diastolic_BP,0.1302277893820456
Systolic_BP,0.12178024495338484
Occupation_Encoded,0.12135808556766403
BMI_Category_Encoded,0.11970974211402297
Age,0.10431004379319361
Sleep_Efficiency,0.07145956219998283
Sleep Duration,0.06988359216569247
Sleep_Deficit,0.06896943536984615
Activity_Stress_Ratio,0.046325049701231184
Heart Rate,0.037710331184855735
Physical Activity Level,0.037462637866756965
Daily Steps,0.03636113067363589
Stress Level,0.029986487191358636
Gender_Encoded,0.004455867836329119
